MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_NEW,VALUE_OLD
010,EINKBELEG,0072099924,0063245649,EKPO,010007209992400010,NETWR,U,       1090.98,       1500.00
010,EINKBELEG,0071160694,0063284037,EKPO,010007116069400010,NETPR,U,      323.85,      370.19
010,EINKBELEG,0071160694,0063284037,EKPO,010007116069400010,NETWR,U,     107518.20,     122903.08
010,EINKBELEG,0071160694,0063284037,EKPO,010007116069400020,NETPR,U,       51.84,       59.18
010,EINKBELEG,0071160694,0063284037,EKPO,010007116069400020,NETWR,U,       3939.84,       4497.68
010,EINKBELEG,0072099126,0063284212,EKPO,010007209912600010,NETPR,U,     6000.00,        0.00
010,EINKBELEG,0072099126,0063284212,EKPO,010007209912600010,NETWR,U,       6000.00,          0.00
010,EINKBELEG,0072099126,0063284212,EKPO,010007209912600010,PACKNO,U,0001903968,0000000000
010,EINKBELEG,0072099126,0063284212,EKPO,010007209912600010,PEINH,U,     1,     0
010,EINKBELEG,0072099126,0063284212,EKPO,010007209912600010,TWRKZ,U,2,
010,EINKBELEG,0072099126,0063284212,EKPO,010007209912600010,TXZ01,U,"L-Winkhauser Str. 25, G/W-HA","L-Winkhauser Str. 25, G/W/S-HA"
010,EINKBELEG,0072099126,0063284212,EKPO,010007209912600010,VRTKZ,U,2,
010,EINKBELEG,0072099126,0063284212,EKPO,010007209912600010,XOBLR,U,X,
010,EINKBELEG,0072099165,0063333846,EKPO,010007209916500010,TXZ01,U,9C20003_SM_Viktoriastraße,9C20003_SM_Viktoriastr.
010,EINKBELEG,0072099165,0063334147,EKPO,010007209916500010,NETPR,U,     2000.00,      600.00
010,EINKBELEG,0072099165,0063334147,EKPO,010007209916500010,NETWR,U,       2000.00,        600.00
010,EINKBELEG,0072099059,0063428990,EKPO,010007209905900010,NETPR,U,     3079.79,     3000.00
010,EINKBELEG,0072099059,0063428990,EKPO,010007209905900010,NETWR,U,       3079.79,       3000.00
010,EINKBELEG,0072099059,0063454250,EKPO,010007209905900010,NETPR,U,      900.00,     3079.79
010,EINKBELEG,0072099059,0063454250,EKPO,010007209905900010,NETWR,U,        900.00,       3079.79
010,EINKBELEG,0072099059,0063454468,EKPO,010007209905900010,NETPR,U,     3079.79,      900.00
010,EINKBELEG,0072099059,0063454468,EKPO,010007209905900010,NETWR,U,       3079.79,        900.00
010,EINKBELEG,4700001219,0063531959,EKPO,010470000121900010,NETPR,U,    75000.00,    60000.00
010,EINKBELEG,4700001219,0063531959,EKPO,010470000121900010,NETWR,U,      75000.00,      60000.00
010,EINKBELEG,0072099029,0063544193,EKPO,010007209902900010,NETPR,U,   639103.25,  1119557.00
010,EINKBELEG,0072099029,0063544193,EKPO,010007209902900010,NETWR,U,     639103.25,    1119557.00
010,EINKBELEG,0072099662,0063544499,EKPO,010007209966200010,NETPR,U,   262258.75,    41700.00
010,EINKBELEG,0072099662,0063544499,EKPO,010007209966200010,NETWR,U,     262258.75,      41700.00
010,EINKBELEG,0072099662,0063544593,EKPO,010007209966200010,NETPR,U,   355235.25,   262258.75
010,EINKBELEG,0072099662,0063544593,EKPO,010007209966200010,NETWR,U,     355235.25,     262258.75
010,EINKBELEG,0072099662,0063544593,EKPO,010007209966200010,TWRKZ,U,2,
010,EINKBELEG,0072099662,0063544593,EKPO,010007209966200010,VRTKZ,U,2,
010,EINKBELEG,0072099662,0063544648,EKPO,010007209966200010,NETPR,U,   306581.40,   355235.25
010,EINKBELEG,0072099662,0063544648,EKPO,010007209966200010,NETWR,U,     306581.40,     355235.25
010,EINKBELEG,0072099662,0063544639,EKPO,010007209966200010,NETPR,U,   276079.95,   306581.40
010,EINKBELEG,0072099662,0063544639,EKPO,010007209966200010,NETWR,U,     276079.95,     306581.40
010,EINKBELEG,0072099662,0063544655,EKPO,010007209966200010,NETPR,U,   283641.95,   276079.95
010,EINKBELEG,0072099662,0063544655,EKPO,010007209966200010,NETWR,U,     283641.95,     276079.95
010,EINKBELEG,0072099662,0063544679,EKPO,010007209966200010,NETPR,U,   288435.95,   283641.95
010,EINKBELEG,0072099662,0063544679,EKPO,010007209966200010,NETWR,U,     288435.95,     283641.95
010,EINKBELEG,0072099662,0063544689,EKPO,010007209966200010,NETPR,U,   297856.20,   288435.95
010,EINKBELEG,0072099662,0063544689,EKPO,010007209966200010,NETWR,U,     297856.20,     288435.95
010,EINKBELEG,0072099662,0063544697,EKPO,010007209966200010,NETPR,U,   302412.40,   297856.20
010,EINKBELEG,0072099662,0063544697,EKPO,010007209966200010,NETWR,U,     302412.40,     297856.20
010,EINKBELEG,0072099662,0063544734,EKPO,010007209966200010,NETPR,U,   300134.30,   302412.40
010,EINKBELEG,0072099662,0063544734,EKPO,010007209966200010,NETWR,U,     300134.30,     302412.40
010,EINKBELEG,0072099662,0063544703,EKPO,010007209966200010,NETPR,U,   298935.30,   300134.30
010,EINKBELEG,0072099662,0063544703,EKPO,010007209966200010,NETWR,U,     298935.30,     300134.30
